timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
404,45.6895,0,0,0,0,0
405,45.6894,0,0,0,0,0
406,45.6894,0,0,0,0,0
407,45.6948,0,0,0,0,0
408,45.695,0,0,0,0,0
409,45.6949,0,0,0,0,0
410,45.6949,0,0,0,0,0
411,45.695,0,0,0,0,0
412,45.6949,0,0,0,0,0
413,45.695,0,0,0,0,0
414,45.6949,0,0,0,0,0
415,45.6949,0,0,0,0,0
416,45.6804,0,0,0,0,0
417,45.6801,0,0,0,0,0
418,45.6802,0,0,0,0,0
419,45.6801,0,0,0,0,0
420,45.6801,0,0,0,0,0
421,45.6801,0,0,0,0,0
422,45.6801,0,0,0,0,0
423,45.6802,0,0,0,0,0
424,45.6802,0,0,0,0,0
425,45.6802,0,0,0,0,0
426,45.6802,0,0,0,0,0
427,45.68,0,0,0,0,0
428,45.6797,0,0,0,0,0
429,45.6798,0,0,0,0,0
430,45.6799,0,0,0,0,0
431,45.6798,0,0,0,0,0
432,45.6798,0,0,0,0,0
433,45.6798,0,0,0,0,0
434,45.6798,0,0,0,0,0
435,45.6645,0,0,0,0,0
436,45.6643,0,0,0,0,0
437,45.6645,0,0,0,0,0
438,45.6792,0,0,0,0,0
439,45.6791,0,0,0,0,0
440,45.6792,0,0,0,0,0
441,45.6791,0,0,0,0,0
442,45.679,0,0,0,0,0
443,45.679,0,0,0,0,0
444,45.679,0,0,0,0,0
445,45.679,0,0,0,0,0
446,45.6791,0,0,0,0,0
447,45.679,0,0,0,0,0
448,45.6789,0,0,0,0,0
449,45.6935,0,0,0,0,0
450,45.6935,0,0,0,0,0
451,45.6935,0,0,0,0,0
452,45.6935,0,0,0,0,0
453,45.6935,0,0,0,0,0
454,45.6935,0,0,0,0,0
455,45.6796,0,0,0,0,0
456,45.6795,0,0,0,0,0
457,45.6796,0,0,0,0,0
458,45.6796,0,0,0,0,0
459,45.6851,0,0,0,0,0
460,45.6851,0,0,0,0,0
461,45.685,0,0,0,0,0
462,45.685,0,0,0,0,0
463,45.685,0,0,0,0,0
464,45.6851,0,0,0,0,0
465,45.685,0,0,0,0,0
466,45.6849,0,0,0,0,0
467,45.6849,0,0,0,0,0
468,45.6849,0,0,0,0,0
469,45.6848,0,0,0,0,0
470,45.6902,0,0,0,0,0
471,45.6903,0,0,0,0,0
472,45.6903,0,0,0,0,0
473,45.6903,0,0,0,0,0
474,45.6903,0,0,0,0,0
475,45.6839,0,0,0,0,0
476,45.6839,0,0,0,0,0
477,45.684,0,0,0,0,0
478,45.6839,0,0,0,0,0
479,45.684,0,0,0,0,0
480,45.6935,0,0,0,0,0
481,45.6935,0,0,0,0,0
482,45.6935,0,0,0,0,0
483,45.6935,0,0,0,0,0
484,45.6934,0,0,0,0,0
485,45.6934,0,0,0,0,0
486,45.6934,0,0,0,0,0
487,45.6934,0,0,0,0,0
488,45.6934,0,0,0,0,0
489,45.6934,0,0,0,0,0
490,45.6934,0,0,0,0,0
491,45.6987,0,0,0,0,0
492,45.6988,0,0,0,0,0
493,45.6989,0,0,0,0,0
494,45.6988,0,0,0,0,0
495,45.6909,0,0,0,0,0
